12.5	12.45	12.47	5.7	4.1
12.46	12.42	12.44	5.7	4.12
12.42	12.39	12.41	5.7	4.13
12.35	12.32	12.34	5.7	4.15
12.32	12.29	12.34	5.7	4.16
12.29	12.27	12.28	5.7	4.2
12.25	12.23	12.24	5.7	4.22
12.19	12.17	12.18	5.7	4.24
12.15	12.12	12.13	5.7	4.31
12.12	12.09	12.16	5.7	4.34
12.1	12.07	12.08	5.7	4.36
12.07	12.05	12.06	5.7	4.41
12.05	12.03	12.04	5.7	4.45
12.02	11.99	12	5.7	4.51
11.99	11.96	11.97	5.7	4.6
11.97	11.94	11.95	5.7	4.71
11.91	11.89	11.9	5.7	4.78
11.87	11.85	11.86	5.7	4.89
11.85	11.83	11.84	5.7	4.96
11.81	11.78	11.79	5.7	5.06
11.78	11.76	11.77	5.7	5.14
11.76	11.73	11.74	5.7	5.16
11.73	11.7	11.71	5.7	5.54
11.71	11.68	11.69	5.7	5.62
11.68	11.65	11.66	5.7	5.65
11.64	11.61	11.62	5.7	5.86
11.61	11.58	11.59	5.7	5.92
11.58	11.55	11.56	5.7	6.42
11.54	11.5	11.52	5.7	6.72
11.5	11.44	11.47	5.7	6.96
11.44	11.37	11.41	5.7	7.42
11.37	11.27	11.32	5.7	7.57
11.32	11.19	11.24	5.7	8.12
11.27	11.11	11.24	5.7	8.72
11.17	10.62	10.89	5.7	9.21
12.67	12.63	12.65	10.9	4.08
12.59	12.54	12.56	10.9	4.1
12.54	12.5	12.52	10.9	4.13
12.48	12.44	12.46	10.9	4.14
12.44	12.4	12.42	10.9	4.16
12.38	12.35	12.37	10.9	4.18
12.28	12.25	12.27	10.9	4.21
12.27	12.24	12.26	10.9	4.24
12.23	12.2	12.22	10.9	4.26
12.19	12.16	12.17	10.9	4.28
12.17	12.13	12.15	10.9	4.3
12.14	12.11	12.12	10.9	4.31
12.11	12.08	12.09	10.9	4.36
12.08	12.04	12.06	10.9	4.41
12.04	12.02	12.03	10.9	4.47
12.02	11.98	12.01	10.9	4.42
11.99	11.95	11.97	10.9	4.6
11.95	11.91	11.93	10.9	4.71
11.92	11.89	11.91	10.9	4.78
11.81	11.78	11.79	10.9	5.08
11.79	11.75	11.77	10.9	5.42
11.75	11.71	11.73	10.9	5.52
11.71	11.66	11.68	10.9	5.66
11.66	11.6	11.63	10.9	5.92
11.63	11.57	11.61	10.9	6.23
11.6	11.53	11.58	10.9	6.42
11.58	11.51	11.54	10.9	6.52
11.55	11.48	11.52	10.9	6.68
11.45	11.38	11.42	10.9	6.82
11.42	11.35	11.38	10.9	6.94
11.4	11.33	11.36	10.9	7.05
11.37	11.3	11.34	10.9	7.37
11.33	11.26	11.3	10.9	7.76
11.2	11.11	11.16	10.9	8.11
11.05	10.17	11.52	10.9	9.53
12.8	12.02	12.1	9.7	4.4
12	11.95	11.97	9.7	4.55
11.98	11.93	11.96	9.7	4.6
11.96	11.91	11.94	9.7	4.66
11.94	11.89	11.92	9.7	4.75
11.92	11.87	11.9	9.7	4.78
11.9	11.85	11.87	9.7	4.83
11.87	11.82	11.84	9.7	4.88
11.86	11.81	11.83	9.7	4.9
11.85	11.8	11.82	9.7	4.92
11.83	11.78	11.81	9.7	4.94
11.81	11.76	11.78	9.7	4.98
11.8	11.75	11.78	9.7	5.01
11.79	11.74	11.76	9.7	5.12
11.78	11.73	11.75	9.7	5.18
11.77	11.72	11.74	9.7	5.27
11.76	11.71	11.73	9.7	5.34
11.75	11.7	11.72	9.7	5.35
11.74	11.69	11.72	9.7	5.38
11.73	11.67	11.71	9.7	5.48
11.71	11.64	11.68	9.7	5.62
11.69	11.63	11.66	9.7	5.68
11.67	11.61	11.64	9.7	5.74
11.65	11.59	11.62	9.7	5.78
11.64	11.58	11.61	9.7	5.86
11.63	11.57	11.6	9.7	6.18
11.61	11.54	11.57	9.7	6.23
11.58	11.49	11.56	9.7	6.29
11.56	11.46	11.51	9.7	6.35
11.54	11.43	11.49	9.7	6.78
11.51	11.4	11.45	9.7	7.01
11.49	11.36	11.42	9.7	7.17
11.43	11.26	11.34	9.7	7.72
11.36	11.12	11.24	9.7	8.18
11.26	10.19	10.81	9.7	9.11
12.65	12.6	12.62	7.7	4.12
12.38	12.32	12.34	7.7	4.23
12.16	12.12	12.14	7.7	4.33
12.14	12.12	12.13	7.7	4.35
12.13	12.1	12.12	7.7	4.5
12.1	12.08	12.09	7.7	4.53
12.08	12.05	12.07	7.7	4.54
12.05	12.02	12.04	7.7	4.58
12.02	11.99	12.01	7.7	4.68
11.99	11.96	11.97	7.7	4.8
11.96	11.93	11.94	7.7	4.82
11.93	11.9	11.92	7.7	4.87
11.9	11.87	11.89	7.7	4.91
11.87	11.84	11.86	7.7	5.05
11.84	11.81	11.83	7.7	5.1
11.81	11.78	11.8	7.7	5.23
11.78	11.75	11.77	7.7	5.37
11.75	11.71	11.73	7.7	5.52
11.71	11.68	11.69	7.7	5.65
11.68	11.64	11.66	7.7	5.8
11.64	11.6	11.62	7.7	6
11.59	11.54	11.56	7.7	6.1
11.57	11.53	11.54	7.7	6.3
11.54	11.5	11.52	7.7	6.46
11.52	11.46	11.49	7.7	6.52
11.5	11.42	11.46	7.7	6.65
11.48	11.4	11.44	7.7	6.68
11.46	11.37	11.41	7.7	6.98
11.42	11.31	11.36	7.7	7.03
11.4	11.27	11.32	7.7	7.16
11.37	11.23	11.3	7.7	7.24
11.35	11.2	11.28	7.7	7.45
11.31	11.1	11.21	7.7	7.75
11.25	10.79	11.1	7.7	8.12
11.1	10.45	10.71	7.7	8.57
